"WBS","Task Name","Type","Category","Start","End","Duration","%","Status","Assignee"
"1","15FL - New Office","parent","General","01-05-2026","15-09-2026","138d","0%","Not Started",""
"1.1","Propose final layout","task","General","01-05-2026","20-05-2026","20d","0%","Not Started",""
"1.2","Price Comparison","task","General","01-06-2026","20-06-2026","20d","0%","Not Started",""
"1.3","Demolish & Construction period (1.5 months)","task","General","01-07-2026","14-08-2026","45d","0%","Not Started",""
"1.4","Furniture","task","General","15-08-2026","03-09-2026","20d","0%","Not Started",""
"1.5","Move - in","milestone","General","15-09-2026","15-09-2026","1d","0%","Not Started",""
"2","12FL - Umami Kitchen","parent","General","01-06-2026","15-11-2026","168d","0%","Not Started",""
"2.1","Propose final layout","task","General","01-06-2026","20-06-2026","20d","0%","Not Started",""
"2.2","Bidding Process","task","General","01-07-2026","20-07-2026","20d","0%","Not Started",""
"2.3","Demolish & Construction period (3 months)","task","General","01-08-2026","29-10-2026","90d","0%","Not Started",""
"2.4","Furniture","task","General","15-10-2026","03-11-2026","20d","0%","Not Started",""
"2.5","Move - in","milestone","General","15-11-2026","15-11-2026","1d","0%","Not Started",""
"3","12FL - Umai Kitchen","parent","General","01-06-2026","15-11-2026","168d","0%","Not Started",""
"3.1","Propose final layout","task","General","01-06-2026","20-06-2026","20d","0%","Not Started",""
"3.2","Price Comparison","task","General","01-07-2026","20-07-2026","20d","0%","Not Started",""
"3.3","Demolish & Construction period (3 months)","task","General","01-08-2026","29-10-2026","90d","0%","Not Started",""
"3.4","Move - in","milestone","General","15-11-2026","15-11-2026","1d","0%","Not Started",""
"4","12FL - Office","parent","General","01-06-2026","15-11-2026","168d","0%","Not Started",""
"4.1","Propose final layout","task","General","01-06-2026","20-06-2026","20d","0%","Not Started",""
"4.2","Price Comparison","task","General","01-07-2026","20-07-2026","20d","0%","Not Started",""
"4.3","Demolish & Construction period (2 months)","task","General","01-08-2026","29-09-2026","60d","0%","Not Started",""
"4.4","Furniture","task","General","01-10-2026","20-10-2026","20d","0%","Not Started",""
"4.5","Move - in","milestone","General","15-11-2026","15-11-2026","1d","0%","Not Started",""
